Name Designation / Substation	Customer Name	Country of Installation	Transformer Type	Asset Group	Serial Number	Manufacturing Year	Brand	Operational status	Application	Number of Phases	Insulation type	Typ of Oil	Type of cooling equipment	Rated voltage (HV)	Rated voltage (MV)	Rated voltage (LV)	Rated power	Vector group	Number of Tap Changer	Typ of Tap Changer	Type of cooling and level
Zaragizhskie MGES	"?? ""Malie GES KBR"""	Russia	TD-25000/110	Power Transformers	Y100082	2013	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	121		10.5	25	YN/D-11	-	-	ONAF
Almazovo	"??? ""MOESK"""	Russia	TRDN-63000/110	Power Transformers	Y100083	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-10.5	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 WR	ONAF
Almazovo	"??? ""MOESK"""	Russia	TRDN-63000/110	Power Transformers	Y100084	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-10.5	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 WR	ONAF
Fryazino	"??? ""MOESK"""	Russia	TDTN-40000/110	Power Transformers	Y100085	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	34.5	11	40	YN/YN/D-0-11	1	VV III 250 Y-76.0/-10 19 1 W	ONAF
Vodokanal	"GUP ""Vodokanal St-Peterburg"""	Russia	TRDN-40000/110	Power Transformers	Y100086	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-6.3	40	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Vodokanal	"GUP ""Vodokanal St-Peterburg"""	Russia	TRDN-40000/110	Power Transformers	Y100087	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-6.3	40	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Tyagovaya 2015	Eurockim-H??	Russia	TDN-16000/110	Power Transformers	Y100088	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11	16	YN/D-11	1	V III 200 Y-76.0/-10 19 1 WR	ONAF
Tyagovaya 2015	Eurockim-H??	Russia	TDN-16000/110	Power Transformers	Y100089	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11	16	YN/D-11	1	V III 200 Y-76.0/-10 19 1 WR	ONAF
Kronospan	??? ®Kronospan OSB¯	Russia	TRDN-40000/110	Power Transformers	Y100090	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	40	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 WR	ONAF
Kronospan	??? ®Kronospan OSB¯	Russia	TRDN-40000/110	Power Transformers	Y100091	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	40	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 WR	ONAF
Aeroport	Astana-REK	Kazakhstan	TRDN-63000/110	Power Transformers	Y100092	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		20--20	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Aeroport	Astana-REK	Kazakhstan	TRDN-63000/110	Power Transformers	Y100093	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		20--20	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Olimp	Astana-REK	Kazakhstan	TRDN-63000/110	Power Transformers	Y100094	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		20--20	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Olimp	Astana-REK	Kazakhstan	TRDN-63000/110	Power Transformers	Y100095	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		20--20	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
PGV-2	??? ®KirishiNefteOrgSintez¯	Russia	TRDN-80000/110	Power Transformers	Y100096	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	115		6.3-6.3	80	YN/D-D-11-11	1	M III 500Y-72.5/B-10 19 1 W	ONAF
Kamakaliy	Eurockim-UKK	Russia	TDTN-63000/220	Power Transformers	Y100097	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230		6.6-6.6	63	YN/D-D-11-11	1	MS III 300Y-72.5-14273 W	ONAF
Kamakaliy	Eurockim-UKK	Russia	TDTN-63000/220	Power Transformers	Y100098	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230		6.6-6.6	63	YN/D-D-11-11	1	MS III 300Y-72.5-14273 W	ONAF
Kamakaliy	Eurockim-UKK	Russia	TDTN-63000/220	Power Transformers	Y100099	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230		6.6-6.6	63	YN/D-D-11-11	1	MS III 300Y-72.5-14273 W	ONAF
Yanino-2	"??? ""LOESK"""	Russia	TRDN-63000/110	Power Transformers	Y100100	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-10.5	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Yanino-2	"??? ""LOESK"""	Russia	TRDN-63000/110	Power Transformers	Y100101	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-10.5	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
TEC-12	"PAO ""Mosenergo"""	Russia	TRDCN-100000/110	Power Transformers	Y100102	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	115		11--11	100	YN/D-D-11-11	1	M III 600Y-72.5/B-10 19 1 W	OFAF
TEC-12	"PAO ""Mosenergo"""	Russia	TRDCN-100000/110	Power Transformers	Y100103	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	115		11--11	100	YN/D-D-11-11	1	M III 600Y-72.5/B-10 19 1 W	OFAF
BMZ(PS_Stal)	"OAO ""BMZ"""	Russia	TRDN-100000/110	Power Transformers	Y100104	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	100	YN/YN-YN-0-0	1	M III 600Y-72.5/B-10 19 3 W	ONAF
BMZ(PS_Stal)	"OAO ""BMZ"""	Russia	TRDN-100000/110	Power Transformers	Y100105	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	100	YN/YN-YN-0-0	1	M III 600Y-72.5/B-10 19 3 W	ONAF
Vankor			ATDCTN-125000/220 	Power Transformers	Y100106		Siemens	Delivered	Network transformer	3 Phase Design	Fluid								1		
Vankor			ATDCTN-125000/220 	Power Transformers	Y100107		Siemens	Delivered	Network transformer	3 Phase Design	Fluid								1		
Erementau	"VES ""?erementau 1"""	Kazakhstan	TDTN-63000/220	Power Transformers	Y100108	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230		38.5	63	YN/YN-0	1	MS III 300Y-72.5-14273 W	ONAF
Kotlovka	"??? ""RIT""/?? ""OEK"""	Russia	TRDCN-200000/220	Power Transformers	Y100110	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	230		22-22	200	YN/YN-YN-0-0	1	M III 600Y-72.5/B-10 19 1 W	OFAF
Kotlovka	"??? ""RIT""/?? ""OEK"""	Russia	TRDCN-200000/220	Power Transformers	Y100111	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	230		22-22	200	YN/YN-YN-0-0	1	M III 600Y-72.5/B-10 19 1 W	OFAF
Trebsa-Titova			ATDCTN-63000/220 	Power Transformers	Y100112	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	230	121	38.5	63	YN auto/D-0-11	3	3xVRC I 401-170/B-10193 W	ONAF
Trebsa-Titova			ATDCTN-63000/220 	Power Transformers	Y100113	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan/Pump	230	121	38.5	63	YN auto/D-0-11	3	3xVRC I 401-170/B-10193 W	OFAF
Olovozavodskaya	"?? ""RES"""	Russia	TRDN-63000/110	Power Transformers	Y100114	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	115		11--11	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Olovozavodskaya	"?? ""RES"""	Russia	TRDN-63000/110	Power Transformers	Y100115	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	115		11--11	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Ulan Bator	"ZAO ""ROTEK""/ ??""TEC-4"""	Mongolia	TDC-160000/220	Power Transformers	Y100116	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan/Pump	242		10.5	160	YN/D-11	-	-	OFAF
TEC-17	"??? ""PPTK""/PAO ""Mosenergo"""	Russia	TDN-40000/110	Power Transformers	Y100117	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5	40	YN/D-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Centralnaya  	"??? ""TGK-1"""	Russia	TD-80000/110	Power Transformers	Y100118	2014	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	121		10.5	80	YN/D-11	-	-	ONAF
Centralnaya  	"??? ""TGK-1"""	Russia	TD-80000/110	Power Transformers	Y100119	2014	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	121		10.5	80	YN/D-11	-	-	ONAF
TAIF-NK	"???""TAIF-NK"" "	Russia	TRDCN-100000/110	Power Transformers	Y100120	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan/Pump	115		10.5-10.5	100	YN/D-D-11-11	1	M III 600Y-72.5/B-10 19 1	OFAF
TAIF-NK	"???""TAIF-NK"" "	Russia	TRDCN-100000/110	Power Transformers	Y100121	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan/Pump	115		10.5-10.5	100	YN/D-D-11-11	1	M III 600Y-72.5/B-10 19 1	OFAF
TAIF-NK	"???""TAIF-NK"" "	Russia	TRDCN-100000/110	Power Transformers	Y100122	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan/Pump	115		10.5-10.5	100	YN/D-D-11-11	1	M III 600Y-72.5/B-10 19 1	OFAF
Uralkaliy	"PAO ""Uralkaliy"""	Russia	ATDCTN-125000/220 	Power Transformers	Y100123	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	230	121	6.6	125	YN auto/D-0-11	3	3xM I 802-170/C-14131 WR	OFAF
Uralkaliy	"PAO ""Uralkaliy"""	Russia	ATDCTN-125000/220 	Power Transformers	Y100124	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	230	121	6.6	125	YN auto/D-0-11	3	3xM I 802-170/C-14131 WR	OFAF
Uralkaliy	"PAO ""Uralkaliy"""	Russia	TRDN-63000/110	Power Transformers	Y100125	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		6.6-6.6	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 WR	ONAF
Uralkaliy	"PAO ""Uralkaliy"""	Russia	TRDN-63000/110	Power Transformers	Y100126	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		6.6-6.6	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 WR	ONAF
Uralkaliy	"PAO ""Uralkaliy"""	Russia	TRDN-40000/110	Power Transformers	Y100127	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	40	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 WR	ONAF
Uralkaliy	"PAO ""Uralkaliy"""	Russia	TRDN-40000/110	Power Transformers	Y100128	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	40	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 WR	ONAF
Uralkaliy	"PAO ""Uralkaliy"""	Russia	TRDN-25000/110	Power Transformers	Y100129	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		6.6-6.6	25	YN/D-D-11-11	1	V III 200 Y-76.0/-10 19 1 WR	ONAF
Uralkaliy	"PAO ""Uralkaliy"""	Russia	TRDN-25000/110	Power Transformers	Y100130	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		6.6-6.6	25	YN/D-D-11-11	1	V III 200 Y-76.0/-10 19 1 WR	ONAF
PS Vostok	"??? ""NPO ""SPb EK"" "	Russia	TRDN-63000/110	Power Transformers	Y100131	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		22-22	63	YN/D-D-11-11	1	VV III 400 Y-76.0/-10 19 1 WR	ONAF
PS Vostok	"??? ""NPO ""SPb EK"" "	Russia	TRDN-63000/110	Power Transformers	Y100132	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		22-22	63	YN/D-D-11-11	1	VV III 400 Y-76.0/-10 19 1 WR	ONAF
Izmailovskaya Perspektiva	"??? ""ABB"""	Russia	TRDN-63000/110	Power Transformers	Y100133	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Izmailovskaya Perspektiva	"??? ""ABB"""	Russia	TRDN-63000/110	Power Transformers	Y100134	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TDN-125000/110	Power Transformers	Y100135	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan	110		36.6	125	YN/D-D-11-11	1	VRC III 700Y-72.5/D-12233G	ONAF
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TDN-125000/110	Power Transformers	Y100136	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan	110		36.6	125	YN/D-D-11-11	1	VRC III 700Y-72.5/D-12233G	ONAF
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TDN-85000/110	Power Transformers	Y100137	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan	110		36.6	85	YN/D-D-11-11	1	VM III 500Y-72.5/C-12233G	ONAF
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TDN-85000/110	Power Transformers	Y100138	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan	110		36.6	85	YN/D-D-11-11	1	VM III 500Y-72.5/C-12233G	ONAF
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TDN-85000/110	Power Transformers	Y100139	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan	110		36.6	85	YN/D-D-11-11	1	VM III 500Y-72.5/C-12233G	ONAF
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TDN-85000/110	Power Transformers	Y100140	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan	110		36.6	85	YN/D-D-11-11	1	VM III 500Y-72.5/C-12233G	ONAF
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TDN-85000/110	Power Transformers	Y100141	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan	110		36.6	85	YN/D-D-11-11	1	VM III 500Y-72.5/C-12233G	ONAF
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TDN-85000/110	Power Transformers	Y100142	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan	110		36.6	85	YN/D-D-11-11	1	VM III 500Y-72.5/C-12233G	ONAF
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TN-63000/35	Power Transformers	Y100143	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	63	D/YN-11	-	-	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	?N-63000/35	Power Transformers	Y100144	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	63	D/YN-11	-	-	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TN-40000/35	Power Transformers	Y100145	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	40	D/YN-11	-	-	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TN-40000/35	Power Transformers	Y100146	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	40	D/YN-11	-	-	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TN-40000/35	Power Transformers	Y100147	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	40	D/YN-11	-	-	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TN-40000/35	Power Transformers	Y100148	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	40	D/YN-11	-	-	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	?N-40000/35	Power Transformers	Y100149	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	40	D/YN-11	-	-	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	?N-40000/35	Power Transformers	Y100150	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	40	D/YN-11	-	-	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	?N-31500/35 	Power Transformers	Y100151	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	31.5	D/YN-11	-	-	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	?N-31500/35 	Power Transformers	Y100152	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	31.5	D/YN-11	-	-	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	?N-31500/35 	Power Transformers	Y100153	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	31.5	D/YN-11	-	-	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	?N-31500/35 	Power Transformers	Y100154	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	31.5	D/YN-11	-	-	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	?N-20000/35	Power Transformers	Y100155	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	20	D/YN-11	-	-	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	?N-20000/35	Power Transformers	Y100156	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	20	D/YN-11	-	-	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TMN-50000/110	Power Transformers	Y100157	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	110		10.5	50	YN/YN/D-0-11	1	VM III 350-72.5/C 10 19 1 G	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TMN-50000/110	Power Transformers	Y100158	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	110		10.5	50	YN/YN/D-0-11	1	VM III 350-72.5/C 10 19 1 G	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TM-16000/35	Power Transformers	Y100159	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	16	D/YN-11	-	-	ONAN
Yamal-2	"OOO""SIEMENS""/OAO ""Novatek"""	Russia	TM-16000/35	Power Transformers	Y100160	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	-	35		10.5	16	D/YN-11	-	-	ONAN
Apatity	"??? NPO ""SPb EK""/ ??? ""Apatit"""	Russia	TDTN-63000/150	Power Transformers	Y100161	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	158	38.5	6.6	16	YN/YN/D-0-11	1	V III 350 Y-123.0/-10 19 3 W	ONAF
