Name Designation / Substation	Customer Name	Country of Installation	Transformer Type	Asset Group	Serial Number	Manufacturing Year	Brand	Operational status	Application	Number of Phases	Insulation type	Typ of Oil	Type of cooling equipment	Rated voltage (HV)	Rated voltage (MV)	Rated voltage (LV)	Rated power	Vector group	Number of Tap Changer	Typ of Tap Changer	Type of cooling and level
Apatity	"??? NPO ""SPb EK""/ ??? ""Apatit"""	Russia	TDTN-63000/150	Power Transformers	Y100162	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	158	38.5	6.6	16	YN/YN/D-0-11	1	V III 350 Y-123.0/-10 19 3 W	ONAF
Rudnichnaya	"???""Siemens""/???""Eurochim"""	Kazakhstan	TDN-40000/110	Power Transformers	Y100163	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		6.6	40	YN/D-11	1	V III 200 Y-76.0/-10 19 1 W	ONAF
Rudnichnaya	"???""Siemens""/???""Eurochim"""	Kazakhstan	TDN-40000/110	Power Transformers	Y100164	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		6.6	40	YN/D-11	1	V III 200 Y-76.0/-10 19 1 W	ONAF
Promyshlennaya	"?? ""PREK"""	Kazakhstan	ATDCTN-125000/220 	Power Transformers	Y100165	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	230	121	10.5	125	YN auto/D-0-11	3	3xRS9.3-I-630-170/M 14 13 1 W	ONAN/ONAF/OFAF
Promyshlennaya	"?? ""PREK"""	Kazakhstan	ATDCTN-125000/220 	Power Transformers	Y100166	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	230	121	10.5	125	YN auto/D-0-11	3	3xRS9.3-I-630-170/M 14 13 1 W	ONAN/ONAF/OFAF
TermoGasMachala	ENEX energoexpert/CELEC EP	Ekvador	TD-200000/230	Power Transformers	Y100167	2014	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	230		13.8	200	YN/D-1	-	-	ONAF
TermoGasMachala	ENEX energoexpert/CELEC EP	Ekvador	ATDT-250000/230	Power Transformers	Y100168	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	230		13.8	250	YNa0d1	-	-	ONAN/ONAF1/ONAF2
TermoGasMachala	ENEX energoexpert/CELEC EP	Ekvador	TD-125000/230	Power Transformers	Y100169	2015	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	230		13.8	125	YNd1	-	-	ONAN/ONAF1/ONAF2
TermoGasMachala	ENEX energoexpert/CELEC EP	Ekvador	TD-125000/230	Power Transformers	Y100170	2015	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	230		13.8	125	YNd1	-	-	ONAN/ONAF1/ONAF2
TermoGasMachala	ENEX energoexpert/CELEC EP	Ekvador	TD-125000/230	Power Transformers	Y100171	2015	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	230		13.8	125	YNd1	-	-	ONAN/ONAF1/ONAF2
TermoGasMachala	ENEX energoexpert/CELEC EP	Ekvador	TD-16000/15	Power Transformers	Y100172	2015	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	13.8	138	4.16	16	Dd0	-	-	ONAF
TermoGasMachala	ENEX energoexpert/CELEC EP	Ekvador	TD-16000/15	Power Transformers	Y100173	2015	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	13.8		4.16	16	Dd0	-	-	ONAF
Dunga	"FK ""Maersk Oil Kazakhstan Gmbh"""	Kazakhstan	TDN-16000/35	Power Transformers	Y100174	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	36.75		5.5	16	YN/D-11	1	V III 350Y-76.0-10193 W	ONAF
Dunga	"FK ""Maersk Oil Kazakhstan Gmbh"""	Kazakhstan	TDN-16000/35	Power Transformers	Y100175	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	36.75		5.5	16	YN/D-11	1	V III 350Y-76.0-10193 W	ONAF
Electron	??? FSK EES	Russia	ATDCTN-125000/220 	Power Transformers	Y100176	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	230	121	10.5	125	YN auto/D-0-11	3	3xM I 802-170/C-14 131W	ONAN/ONAF/OFAF
Taraz		Kazakhstan	TDTN-125000/220	Power Transformers	Y100177	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	230	36.6	10.5	125	YN/YN/D-0-11	1	RS 9.3 III Y 400 - 72.5 / K 14.27.3W	ONAF
Taraz		Kazakhstan	TDTN-125000/220	Power Transformers	Y100178	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	230	36.6	10.5	125	YN/YN/D-0-11	1	RS 9.3 III Y 400 - 72.5 / K 14.27.3W	ONAF
TOZ 2	"??? ""TOZ"""	Russia	TDN-25000/110	Power Transformers	Y100179	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		6.6	25	YN/D-11	1	V III 200Y-76-10 191WR	ONAF
				Power Transformers	Y100180 (Y100079) 		Siemens	Delivered		3 Phase Design	Fluid		Fan						1		
				Power Transformers	Y100181 (Y100080)		Siemens	Delivered		3 Phase Design	Fluid		Fan						1		
TEC-9 Mosenergo	"PAO ""Mosenergo"""	Russia	TD-80000/110	Power Transformers	Y100182	2014	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	GK	Fan	121		10.5	80	YN/D-11	1	-	ONAF
Klayzma	"??? ""MOESK"""	Russia	TDN-63000/110	Power Transformers	Y100183	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		6.6	63	YN/D-11	1	V III 350 Y-76.0-10 19 1 W	ONAF
Klayzma	"??? ""MOESK"""	Russia	TDN-63000/110	Power Transformers	Y100184	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		6.6	63	YN/D-11	1	V III 350 Y-76.0-10 19 1 W	ONAF
				Power Transformers	Y100185		Siemens	Delivered		3 Phase Design	Fluid										
				Power Transformers	Y100186		Siemens	Delivered		3 Phase Design	Fluid										
Bersenevskaya	"??? ""OEK"""	Russia	TDCTN-160000/110	Power Transformers	Y100187	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan/Pump	115	22	11	160	YN/YN/D-0-11	2	VRD III 1000Y-72.5/C-10 19 1WR. VM III 350Y-72.5/C-10 19 3WR	OFAF
Bersenevskaya	"??? ""OEK"""	Russia	TDCTN-160000/110	Power Transformers	Y100188	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan/Pump	115	22	11	160	YN/YN/D-0-11	2	VRD III 1000Y-72.5/C-10 19 1WR. VM III 350Y-72.5/C-10 19 3WR	OFAF
Bersenevskaya	"??? ""OEK"""	Russia	TRDN-40000/22	Power Transformers	Y100189	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan	22		6.3-6.3	40	YN/D-D-11-11	1	VRD III 1300Y-72.5/C-10193 W	ONAF
Bersenevskaya	"??? ""OEK"""	Russia	TRDN-40000/22	Power Transformers	Y100190	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan	22		6.3-6.3	40	YN/D-D-11-11	1	VRD III 1300Y-72.5/C-10193 W	ONAF
MMPS	"OOO ""Politekh"""	Russia	TDCN-25000/110	Power Transformers	Y100191	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	115		10.5 (6.3)	25	YN/D-11(D-11)	1	V III 200 Y - 76.0 / 10 19 1 WR	OFAF
Bayterek		Kazakhstan	TRDN-63000/110	Power Transformers	Y100192	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		20--20	63	YN/D-D-11-11	1	RS 12 Y 400 72.5 10 19 1W	ONAF
Bayterek		Kazakhstan	TRDN-63000/110	Power Transformers	Y100193	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		20--20	63	YN/D-D-11-11	1	RS 12 Y 400 72.5 10 19 1W	ONAF
PS Gagarin	"???""SIEMENS""/ ???""EGGER"""	Russia	TDN-50000/110	Power Transformers	Y100194	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		10.5	50	YN/D-11	1	V III 350Y-76.0-10191WR	ONAF
PS Gagarin	"???""SIEMENS""/ ???""EGGER"""	Russia	TDN-50000/110	Power Transformers	Y100195	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		10.5	50	YN/D-11	1	V III 350Y-76.0-10191WR	ONAF
"NPZ ""Aphipskiy"""	"ZAO ""Mosproektstroy""/          ??? ""Aphipskiy NPZ"""	Russia	ATRDCTN-250000/220	Power Transformers	Y100197	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan/Pump	230	121	11	250	Y? auto/D-D-11-11	1	M III 600 Y-72.5/C-14273 WR	OFAF
"NPZ ""Aphipskiy"""	"ZAO ""Mosproektstroy""/          ??? ""Aphipskiy NPZ"""	Russia	ATRDCTN-250000/220	Power Transformers	Y100198	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan/Pump	230	121	11	250	Y? auto/D-D-11-11	1	M III 600 Y-72.5/C-14273 WR	OFAF
PS Stal	OOO Tulachermet-Stal	Russia	TDCNM-63000/220	Power Transformers	Y100199	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan/Pump	220		35	63	YN/D-11	1	MS III 300 Y-72.5-10193 WR	OFAF
PS Stal	OOO Tulachermet-Stal	Russia	TRDCFNM-80000/125000/220	Power Transformers	Y100200	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan/Pump	220		10.5-10.5	80/125	YN/D-D-11-11	1	MS III 300 Y-72.5/?-10193 WR	OFAF-Force
PS Stal	OOO Tulachermet-Stal	Russia	TRDCFNM-80000/125000/220	Power Transformers	Y100201	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan/Pump	220		10.5-10.5	80/125	YN/D-D-11-11	1	MS III 300 Y-72.5/?-10193 WR	OFAF-Force
Sokpar		Russia	TDTN-63000/220	Power Transformers	Y100202		Siemens	Delivered	Network transformer	3 Phase Design	Fluid								1		
Sokpar		Russia	TDTN-63000/220	Power Transformers	Y100203		Siemens	Delivered	Network transformer	3 Phase Design	Fluid								1		
Sokpar		Russia	TDTN-63000/220	Power Transformers	Y100204		Siemens	Delivered	Network transformer	3 Phase Design	Fluid								1		
Sokpar		Russia	TDTN-63000/220	Power Transformers	Y100205		Siemens	Delivered	Network transformer	3 Phase Design	Fluid								1		
Industrialnaya		Russia	TRDN-125000/110	Power Transformers	Y100206	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	220		10.5-10.5	125	YN/D-D-11-11	1	RSV 9.3 III-700Y-72.5/K-10191W	ONAF
Industrialnaya		Russia	TRDN-125000/110	Power Transformers	Y100207	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	220		10.5-10.5	125	YN/D-D-11-11	1	RSV 9.3 III-700Y-72.5/K-10191W	ONAF
Buzmein	"""Belent jai"""	Turkmenistan	TDTN-40000/110	Power Transformers	Y100208	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	110	36.75	10.5 (6.3)	40	YN/YN/D-0-11	1	V III 350Y-76.0/ 10191W	ONAF
Buzmein	"""Belent jai"""	Turkmenistan	TDTN-40000/110	Power Transformers	Y100209	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	110	36.75	10.5 (6.3)	40	YN/YN/D-0-11	1	V III 350Y-76.0/ 10191W	ONAF
Innopolis_Kazan	"??? ""OEZ ?Innopolis"""	Russia	TRDN-63000/110	Power Transformers	Y100210	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		10.5-10.5	63	YN/D-D-11-11	1	V III 350Y-76 10191	ONAF
Innopolis_Kazan	"??? ""OEZ ?Innopolis"""	Russia	TRDN-63000/110	Power Transformers	Y100211	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		10.5-10.5	63	YN/D-D-11-11	1	V III 350Y-76 10191	ONAF
Kokzhailau 	"TOO ""Avrora"""	Kazakhstan	TRMN-40000/110	Power Transformers	Y100212	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		10.5-10.5	40	YN/D-D-11-11	1	CV III 350Y-72.5-10191W	ONAF
Kokzhailau 	"TOO ""Avrora"""	Kazakhstan	TRMN-40000/110	Power Transformers	Y100213	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		10.5-10.5	40	YN/D-D-11-11	1	CV III 350Y-72.5-10191W	ONAF
Iput_PS	"??? ""Gomelenergo"""	Belarus	TRDN-63000/110	Power Transformers	Y100214	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		11--11	63	YN/D-D-11-11	1	RSV 9.3 III-400Y-72.5/K-10191W	ONAF
Iput_PS	"??? ""Gomelenergo"""	Belarus	TRDN-63000/110	Power Transformers	Y100215	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		11--11	63	YN/D-D-11-11	1	RSV 9.3 III-400Y-72.5/K-10191W	ONAF
Gryazi_PS	"OAO ""RZHD"""	Russia	TDTNZH-40000/220	Power Transformers	Y100218	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	230	38.5	27.5	40	YN/YN/D-0-11	1	MS III 300 Y-72.5/B-14273 W	ONAF
Cargill Novoannenskiy	"OOO ""Kargill"""	Russia	?DN-10000/110	Power Transformers	Y100220	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		10.5	10	YN/D-11	1	RS 12 III 200Y - 72.5 -10191W	ONAF
Cargill Novoannenskiy	"OOO ""Kargill"""	Russia	?DN-10000/110	Power Transformers	Y100221	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		10.5	10	YN/D-11	1	RS 12 III 200Y - 72.5 -10191W	ONAF
Apatity		Russia	TDTN-63000/150	Power Transformers	Y100222		Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan						1		ONAF
Apatity		Russia	TDTN-63000/150	Power Transformers	Y100223		Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan						1		ONAF
TRAFO	STV	Russia	TRDNS-40000/110	Power Transformers	Y100224	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	121		6.3-6.3	40	YN/D-D-11-11	1	CV III 350Y-72.5-10191W	ONAF
"PS ""Pavlodarskaya"""		Kazakhstan	ATDTN-125000/220	Power Transformers	Y100225	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230	121	10.5	125	YN auto/D-0-11	3	3xVRC I 701-123.0/B-14 131W	ONAF
"PS ""Pavlodarskaya"""		Kazakhstan	ATDTN-125000/220	Power Transformers	Y100226	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230	121	10.5	125	YN auto/D-0-11	3	3xVRC I 701-123.0/B-14 131W	ONAF
Moglino	"??? ""ZETO SMP Severo-zapad"""	Russia	TRDN-40000/110	Power Transformers	Y100227	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		10.5-10.5	40	YN/D-D-11-11	1	RS12-Y-400-72.5-10191WR	ONAF
Moglino	"??? ""ZETO SMP Severo-zapad"""	Russia	TRDN-40000/110	Power Transformers	Y100228	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		10.5-10.5	40	YN/D-D-11-11	1	RS12-Y-400-72.5-10191WR	ONAF
Lebedinskiy GOK	OOO Lebedinskiy GOK	Russia	TRDN-63000/110	Power Transformers	Y100229	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		6.3-6.3	63	YN/D-D-11-11	1	RS12 Y 400 - 72.5-10191W	ONAF
Lebedinskiy GOK	OOO Lebedinskiy GOK	Russia	TRDN-63000/110	Power Transformers	Y100230	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		6.3-6.3	63	YN/D-D-11-11	1	RS12 Y 400 - 72.5-10191W	ONAF
"PS ""Birulevo"""	"??? ""GK Aksiomatika"""	Russia	TDCTN-100000/110	Power Transformers	Y100231	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan/Pump	115	11	6.9	100	YN/D-D-11-11	1	VM III 650Y-72.5/B-10 191WR	OFAF
"PS ""Birulevo"""	"??? ""GK Aksiomatika"""	Russia	TDCTN-100000/110	Power Transformers	Y100232	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan/Pump	115	11	6.9	100	YN/D-D-11-11	1	VM III 650Y-72.5/B-10 191WR	OFAF
"PS ""Samarskaya"""		Russia	TRDCN-125000/110	Power Transformers	Y100233	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan/Pump	115		10.5-10.5	125	YN/D-D-11-11	1	VRC III 700 Y 72.5 / B-10 19 1 W	OFAF
"PS ""Samarskaya"""		Russia	TRDCN-125000/110	Power Transformers	Y100234	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan/Pump	115		10.5-10.5	125	YN/D-D-11-11	1	VRC III 700 Y 72.5 / B-10 19 1 W	OFAF
Gadzhievo	" ??? ""TransSnab"""	Russia	TDN-40000/150	Power Transformers	Y100235	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	158		38.5	40	YN/D-11	1	RS12 Y 200-72.5/ 10193 W	ONAF
Gadzhievo	" ??? ""TransSnab"""	Russia	TDN-40000/150	Power Transformers	Y100236	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	158		38.5	40	YN/D-11	1	RS12 Y 200-72.5/ 10193 W	ONAF
Gadzhievo	" ??? ""TransSnab"""	Russia	TDN-25000/35	Power Transformers	Y100237	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	38.5		6.3	25	YN/D-11	1	RS12 Y III 400-72.5 - 10 19 3W	ONAF
Gadzhievo	" ??? ""TransSnab"""	Russia	TDN-25000/35	Power Transformers	Y100238	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	38.5		6.3	25	YN/D-11	1	RS12 Y III 400-72.5 - 10 19 3W	ONAF
Gadzhievo	" ??? ""TransSnab"""	Russia	TDN-16000/35	Power Transformers	Y100239	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	38.5		6.3	16	YN/D-11	1	RS12 Y400-72.5 - 10 19 3W	ONAF
Gadzhievo	" ??? ""TransSnab"""	Russia	TDN-16000/35	Power Transformers	Y100240	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	38.5		6.3	16	YN/D-11	1	RS12 Y400-72.5 - 10 19 3W	ONAF
Kiziloordinskaya TEC-3	"??? ""Tech-Service Kiziloorda"	Kazakhstan	TDTN-63000/220	Power Transformers	Y100241	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	230	38.5	10.5	63	YN/YN/D-0-11	1	CM III 500Y-72.5B-14 273W	ONAF
PS Lebedi	OOO Lebedinskiy GOK	Russia	ATDCTN-200000/330	Power Transformers	Y100242	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan/Pump	330	115	38.5	200	YN auto/D-0-11	3	3?M I 1203-170/C-14 13 1WR	OFAF
Donbiotech		Russia	TRDN-40000/220	Power Transformers	Y100245	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230		10.5-10.5	40	YN/D-D-11-11	1	CM III 500Y-72.5/B-14 273WR	ONAF
Donbiotech		Russia	TRDN-40000/220	Power Transformers	Y100246	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230		10.5-10.5	40	YN/D-D-11-11	1	CM III 500Y-72.5/B-14 273WR	ONAF
Prommashkomplekt		Russia	TRDN-40000/220	Power Transformers	Y100247	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	230	38.5	11	40	YN/YN/D-0-11	1	CM2 III 500Y-72.5/C-10 191WR	ONAF
Prommashkomplekt		Russia	TRDN-40000/220	Power Transformers	Y100248	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	230	38.5	11	40	YN/YN/D-0-11	1	CM2 III 500Y-72.5/C-10 191WR	ONAF
"PS ""TOF"" "	TOF Nornikel	Russia	TRDN-40000/110	Power Transformers	Y100249	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		6.6-6.6	40	YN/D-D-11-11	1	CV III 350Y - 72.5 - 10191 W	ONAF
"PS ""TOF"" "	TOF Nornikel	Russia	TRDN-40000/110	Power Transformers	Y100250	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		6.6-6.6	40	YN/D-D-11-11	1	CV III 350Y - 72.5 - 10191 W	ONAF
